Sample,CZ.1,CZ.2,CZ.3,CL1.1,CL1.2,CL1.3
neg_2665_,0.1726,0.1636,0.0946,0.0742,0.1045,0.0387
neg_2669_,0.0536,0.0731,0.079,0.1088,0.0711,0.0798
"pos_4176_(1(10)E,4a,5E)-1(10),5-Germacradiene-12-acetoxy-4,11-diol",0.0407,0.1279,0.0543,0.1076,0.0766,0.0971
neg_3534_Floionolic acid,0.6936,0.8598,0.5981,2.1223,1.3202,1.6395
"neg_2682_Hexahydro-6,7-dihydroxy-5-(hydroxymethyl)-3-(2-hydroxyphenyl)-2H-pyrano[2,3-d]oxazol-2-one",0.0379,0.0204,0.01,0.0075,0.0083,0.0067
neg_2691_Irilone,0.0115,0.0234,0.0256,0.0011,0.0049,0.0047
neg_2692_quinalphos,0.1259,0.3019,0.3263,0.1128,0.1422,0.1336
pos_4873_Sayanedin,0.0108,0.0048,0.0038,0.0116,0.0091,0.0118
neg_2698_Sayanedin,0.0206,0.2079,0.0133,0.0171,0.0239,0.0177
neg_2701_Eurothiocin B,0.0664,0.0261,0.0537,0.0075,0.0127,0.0106
"pos_4879_1-(2,4-Dihydroxy-6-methoxy-3,5-dimethylphenyl)-3-phenyl-2-propen-1-one",0.0241,0.0189,0.0114,0.0183,0.0082,0.0084
neg_2709_4'-N-desmethylolanzapine,0.01,0.0126,0.0106,0.0012,0.0028,0.0056
neg_2710_4'-N-desmethylolanzapine,0.0484,0.0231,0.0336,0.1221,0.1028,0.17
neg_2712_Toxin T2 tetrol,0.0243,0.0316,0.0409,0.0485,0.0435,0.0741
neg_2715_C10-LAS (STANDARD MIX),0.936,0.8178,0.709,0.3434,0.4849,0.3788
pos_3630_4alpha-Hydroxy-5beta-acetoxy-epi-cubenol;(+)-4alpha-Hydroxy-5beta-acetoxy-epi-cubenol,0.0195,0.0214,0.025,0.1653,0.1605,0.157
"neg_2719_7Z,10Z-Hexadecadienoic acid",0.5551,0.9321,2.4768,0.7581,0.972,0.6125
neg_2723_8-Heptadecenal,0.838,0.7743,1.0665,0.9261,0.7934,0.6791
neg_2725_FA 18:1+1O,1.8693,2.5932,2.6067,2.2356,1.6409,2.157
neg_2731_N-cis-Caffeoyltyramine,0.013,0.0141,0.0077,0.017,0.0089,0.0176
neg_7198_Unknown (carbon number 25); PlaSMA ID-1397,0.0086,0.0079,0.0035,0.0072,7.00E-04,0.0074
neg_2739_Chrysoeriol,0.1093,0.4982,0.1511,0.0631,0.0434,0.0475
neg_2740_Chrysoeriol,0.0331,0.0235,0.0323,0.0545,0.0401,0.0542
pos_3393_Aspergillide A,0.0455,0.0377,0.0359,0.2093,0.1542,0.2618
"neg_2765_(1(10)E,4E,6a,9b)-9-(2-Methylpropanoyloxy)-1(10),4,11(13)-germacratrien-12,6-olide",0.5436,0.2262,0.0612,0.0217,0.022,0.014
neg_2766_2-Methoxyestrone,0.3222,0.2162,0.2534,0.025,0.0299,0.0247
neg_2773_MG(14:1(9Z)/0:0/0:0),0.1295,0.161,0.1756,0.5092,0.4147,0.4855
neg_2774_MG(14:1(9Z)/0:0/0:0),0.1764,0.1208,0.1169,0.7198,0.9228,0.7113
pos_14047_Asparagoside A,0.2912,0.3201,0.1277,0.8522,0.3429,0.7135
neg_278_4-Hydroxyphenylacetaldehyde,0.056,0.0829,0.1184,0.0253,0.0289,0.028
neg_2791_Delphinidin,0.7463,1.0291,1.5089,0.3878,0.4315,0.3954
neg_2794_Hesperetin,0.2983,0.0934,0.069,0.3392,0.2324,0.3234
"pos_5663_methyl 2-[(3-formyl-2,2-dimethyl-1,3-thiazolidin-4-yl)formamido]-3-methylbutanoate",0.0807,0.0325,0.0126,0.0817,0.1045,0.0686
neg_2801_UNPD143697,0.0283,0.0067,0.011,0.0069,0.0037,0.0024
neg_281_Phenylacetic acid,0.0464,0.0831,0.0398,0.0683,0.0542,0.0692
neg_2811_xi-7-Hydroxyhexadecanedioic acid,0.1256,0.1468,0.1306,0.1716,0.2972,0.1595
pos_4055_3-[(2-aminoethyl)sulfanyl]-6-ethyl-7-oxo-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,0.1395,0.0839,0.0285,0.242,0.355,0.2424
pos_5114_Tanzawaic acid F;(+)-Tanzawaic acid F,0.0621,0.0842,0.0791,0.0796,0.0761,0.0815
pos_10138_UNPD171230,0.3143,0.3145,0.3927,2.5153,1.8027,1.2052
neg_2846_Aleuritic acid,0.2635,0.1198,0.357,0.0304,0.0802,0.0237
neg_2848_Ustilic acid B,0.0326,0.0253,0.0742,0.3566,0.5555,0.302
"neg_2857_6-[5-(phenylsulfanyl)-1H-1,2,3,4-tetrazol-1-yl]-hexahydrofuro[3,2-b]furan-3-ol",0.0024,0.0138,0.0066,0.004,0.0045,0.0054
neg_4197_Gibberellin A97,0.0046,0.0107,0.0031,0.1428,0.1027,0.1071
neg_2869_2-[bis(diethylamino)phosphoryl]phenol,0.0499,0.0378,0.0451,0.086,0.0628,0.0923
neg_2870_Matricin,0.033,0.0303,0.0106,0.0763,0.0895,0.0927
neg_2875_6-Desmethylmonacolin J;Compactin diol lactone;ML 236A,0.1886,0.1639,0.0793,0.0895,0.1101,0.0925
neg_2891_1-(5-isoquinolinyl)-3-(2-phenylethyl)thiourea,0.2611,0.1949,0.0851,0.0287,0.1529,0.0165
neg_2892_Rutacridone,0.0379,0.0303,0.0145,0.0106,0.1246,0.0051
pos_5224_Dihydrocapsaicin,0.8962,0.8958,0.3576,0.2671,0.5429,0.2882
"neg_2895_({8,12-dimethyl-3-oxo-2,13-dioxatetracyclo[7.5.0.0?,?.0??,??]tetradecan-4-yl}methyl)trimethylazanium",0.1312,0.19,0.1451,0.0452,0.0596,0.041
"pos_5241_4R,5R,6S-Trihydroxy-2-hydroxymethyl-2-cyclohexen-1-one 6-(2-hydroxy-6-methylbenzoate)",0.0195,0.021,0.0217,0.0331,0.0363,0.018
neg_2912_Glyinflanin H,0.025,0.0256,0.0148,0.054,0.0706,0.0276
neg_2913_UNPD215568,0.1104,0.3053,0.1125,9.00E-04,3.00E-04,0.0011
neg_2916_14-Dihydroxycornestin;Cornexistin,0.0821,0.019,0.0147,0.0572,0.057,0.0493
neg_2919_Thonzylamine,0.0631,0.055,0.0512,0.1577,0.0928,0.1163
neg_2945_UNPD205739,0.2595,0.4568,0.2091,0.0116,0.0211,0.0107
neg_2956_Hoslundal,0.0177,0.0171,0.0111,0.0038,0.0118,0.0097
neg_2958_Betagarin,0.0224,0.0181,0.0244,0.0144,0.0115,0.0055
neg_2960_,0.0215,0.0144,0.0283,0.0162,0.0083,0.0131
"pos_12892_3,4,5-trihydroxy-6-{3-hydroxy-4-[(E)-2-[2,3,5-trihydroxy-4-(3-methylbut-2-en-1-yl)phenyl]ethenyl]phenoxy}oxane-2-carboxylic acid",0.0027,0.0057,0.0016,0.0076,0.0013,0.003
neg_2964_(E)-1-O-Cinnamoyl-beta-D-glucose,0.1512,0.0422,0.0081,0.1932,0.0725,0.1019
pos_5304_(E)-1-O-Cinnamoyl-beta-D-glucose,0.0325,0.0198,0.0238,0.0315,0.0251,0.0231
"neg_2969_N,N-dimethyl-4-[5-(1-methylpyrrolidin-3-yl)-1,3,4-oxadiazol-2-yl]aniline",0.1285,0.0713,0.0763,0.1273,0.2253,0.1407
pos_13200_Discarine H,0.2918,0.2919,0.4084,0.4053,0.7471,0.5053
neg_2983_(R)-2-Hydroxysterculic acid,0.0818,0.1547,0.1314,1.0199,0.7199,0.9358
"neg_4054_cis-(7R,8S)-Epoxy-2-methyleicosane",1.1634,8.9178,9.344,0.7833,1.5886,1.3594
"neg_3008_12-methoxy-3,5,10,17-tetraoxapentacyclo[9.6.2.0?,?.0?,??.0??,??]nonadeca-1(18),2(6),7,11,13,15(19)-hexaene-9,16-dione",0.2572,0.3432,0.1363,0.1422,0.1414,0.1352
neg_3010_({6-[(E)-2-methoxyethenyl]-2-oxo-2H-chromen-7-yl}methoxy)sulfonic acid,0.018,0.0296,0.0108,0.0257,0.0153,0.0321
"neg_3013_2-carbomethoxy-9,10-anthraquinone",0.0099,0.0038,0.0033,0.1211,0.2177,0.0884
neg_3016_Petasiformin A,0.0125,0.0123,0.0301,0.001,0.0045,0.0037
"pos_4589_alpha,beta-Dehydrocurvularin;Dehydro-curvularin;Dehydrocurvularin;trans-Dehydrocurvularin",0.0184,0.0217,0.0122,0.0224,0.0316,0.0264
neg_3033_Pestalotheol A;(+)-Pestalotheol A,0.0432,0.0535,0.0275,0.0087,0.0112,0.0164
neg_3045_9(S)-HPODE,2.3436,1.6323,1.1675,0.6838,1.5337,0.5334
neg_3049_Unknown (carbon number 19); PlaSMA ID-644,1.0858,2.139,1.2823,6.4138,6.4062,7.7264
"neg_3051_(2E,18R)-18-hydroxynonadec-2-enoic acid",0.0666,0.0625,0.0851,1.1527,0.293,1.1424
neg_3058_Moupinamide,0.86,0.4175,0.1193,0.0042,6.00E-04,0.0043
neg_306_P-HYDROXYBENZOIC ACID,0.4086,0.5361,0.2378,0.4558,0.2065,0.2889
neg_3062_Laccaic acid D,0.007,0.0075,0.0154,0.0023,0,0.0071
neg_3063_Laccaic acid D,0.079,0.0904,0.1187,0.4394,0.1242,0.3486
neg_3073_Hydroxynybomycin,0.011,0.0439,0.0562,0.2581,0.0077,0.1079
neg_3077_Matteucinol,0.03,0.0236,0.0242,0.0373,0.031,0.0222
"pos_4793_(-)-3,4,9-Trimethoxypterocarpan",0.0516,0.0586,0.0396,0.0431,0.0607,0.0495
neg_3089_Perilloside A,0.0347,0.0765,0.0628,0.0801,0.0411,0.1537
"neg_309_3,4-Dihydroxybenzaldehyde",0.3294,0.4595,0.2378,0.4558,0.2065,0.2519
neg_3091_2S-hydroxy-3-(10Z-tetradecenoyloxy)-propanoic acid,0.1396,0.1125,0.173,0.1021,0.1433,0.0976
"neg_3092_(1R,2R)-3-oxo-2-pentyl-cyclopentanehexanoic acid",0.1033,0.1026,0.0649,0.2829,0.2237,0.2718
"neg_3094_12,13-DHOME",0.8002,0.9316,0.8474,0.4516,0.7654,0.5109
"neg_310_2,3-Methyleneglutaric acid",0.3546,0.5361,0.1998,0.3391,0.1582,0.216
"pos_4817_12,13-DHOME",0.1174,0.0926,0.1106,0.1539,0.1928,0.1902
"neg_3107_(alphaS,betaS)-alpha-Ethyl-alpha-(4-methoxyphenyl)-beta-phenyl-2-pyridineethanol",0.0169,0.0195,0.0551,0,0.0064,0.0033
neg_311_4-Hydroxybenzoic acid; LC-ESI-QTOF; MS2; CE,0.2507,0.2785,0.2142,0.3508,0.1452,0.2031
"neg_3116_2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-methoxy-4H-chromen-4-one",0.0814,0.0728,0.0238,0.0692,0.067,0.0394
"neg_3117_2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-methoxy-4H-chromen-4-one",0.0374,0.032,0.0181,0.0419,0.0198,0.0319
"neg_3118_2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-methoxy-4H-chromen-4-one",0.0944,0.0689,0.0803,0.0883,0.1284,0.0933
"neg_3119_Benzoic acid + 2O, O-Hex",0.1377,0.1385,0.2293,0.0532,0.0438,0.0341
"neg_3122_Benzoic acid + 2O, O-Hex",0.1397,0.1385,0.2293,0.0548,0.0416,0.0341
neg_3125_Homoferreirin,0.0177,0.0293,0.0214,0.2078,0.1552,0.1121
pos_7022_Mukurozidiol,0.0059,0.0132,0.0054,0.0287,0.0508,0.009
neg_3130_4-methyl-7-[(naphthalen-1-yl)methoxy]-2H-chromen-2-one,0.0163,0.0189,0.0295,0.0118,0.0233,0.0127
neg_3136_GDC-0879,0.0296,0.0275,0.009,0.0165,0.0106,0.0288
neg_3142_Ethylene brassylate,0.1448,0.1463,0.0837,0.1445,0.1258,0.1243
pos_3356_Integrifonol A;(+)-Integrifonol A,0.2612,0.5067,0.053,0.2913,0.1315,0.5111
pos_12508_Bu 2867TF;Glidobactin F,0.1972,0.4094,0.5781,0.881,0.6672,1.2582
pos_4386_Koninginin G,2.1312,2.1635,3.4592,0.1677,0.1171,0.2078
"neg_3159_(9S,10S)-9,10-dihydroxyoctadecanoate",0.1852,0.0888,0.0464,0.5514,0.3289,0.4574
neg_3173_4-Carboxynevirapine,0.058,0.1364,0.0259,0.1731,0.0775,0.0889
neg_3175_Adecypenol;Antibiotic OM 3223;OM 3223,0.0837,0.1416,0.0462,0.057,0.0362,0.0551
neg_3177_Dihydroisorhamnetin,0.299,0.6412,0.4455,0.4736,0.3257,0.3314
neg_614_Vanillic acid,0.0392,0.0915,0.2254,5.00E-04,0.0104,0.0022
"neg_3188_(S,E)-Zearalenone",0.0566,0.0554,0.0721,0.0252,0.0269,0.026
"neg_3192_ethyl 2,2-diethyl-7-[(methylsulfanyl)oxy]-hexahydro-2H-1,3-benzodioxole-5-carboxylate",0.0031,0.0161,0.0092,0.0237,0.0282,0.0301
neg_3196_UNPD172162,0.0185,0.0096,0.0277,0.0048,0.0031,0.0095
"neg_3197_ethyl 2,2-diethyl-7-[(methylsulfanyl)oxy]-hexahydro-2H-1,3-benzodioxole-5-carboxylate",0.1111,0.0638,0.0198,0.0473,0.0263,0.0421
neg_3200_Dihydrorubrosterone,0.07,0.0628,0.0207,0.1258,0.1705,0.1057
neg_3202_Ubiquinone-2,0.0575,0.0373,0.0756,0.0127,0.0588,0.0153
neg_3206_2-{[butyl(methyl)amino]methyl}-4-{[(1-methyl-1H-imidazol-2-yl)methyl]amino}oxolan-3-ol,0.0446,0.0686,0.0465,0.0486,0.0583,0.0495
neg_3210_Hepoxilin B3,0.0993,0.0601,0.046,0.1072,0.1345,0.0739
neg_3227_2-[3-carboxylato-3-(dimethylammonio)propyl]-L-histidine dizwitterion,0.0116,0.0049,0.0117,0.0131,0.0053,0.0087
"pos_13260_n,n-didemethyl-7-deoxypactamycin",1.404,2.0407,2.0168,2.2451,1.7097,1.563
neg_3238_3-HYDROXY-4-(SUCCIN-2-YL)-CARYOLANE delta-LACTONE,0.009,0.0107,0.0193,0.1233,0.0597,0.1155
pos_4388_decyl glucoside,0.0308,0.0262,0.0785,0.0357,0.0239,0.1257
neg_3248_decyl glucoside,0.005,0.0088,0,0.0262,0.0266,0.037
"neg_3262_2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol",0.0144,0.0095,0.0163,0.0158,0.0437,0.0147
neg_3264_UNPD69595,0.0142,0.0117,0.0216,0.0165,0.0374,0.0155
neg_3269_Ovalitenin C,0.0236,0.0273,0.026,0.0093,0.0156,0.0159
"neg_327_5-methoxybenzene-1,3-diol",0.0087,0.0108,0.0116,0.0146,0.0123,0.0214
neg_3278_Butyl (S)-3-hydroxybutyrate glucoside,0.0426,0.043,0.0494,0.1171,0.0845,0.0872
"pos_2901_(3beta,9beta)-7-Drimene-3,11,12-triol",0.2855,0.7419,0.1701,1.0461,0.9982,1.1279
pos_3691_7-Hydroxy-10-methoxydeacetyldihydrobotrydial,0.1386,0.1305,0.1115,0.0691,0.0397,0.0647
"pos_5804_7-methyl-4-(2-oxo-1,2-dihydroquinolin-3-yl)-2H,3H,4H,5H-pyrano[4,3-b]pyran-2,5-dione",11.8201,5.3956,2.3282,0.0235,0.0068,0.0054
neg_3315_Sterigmatocystin,0.0031,0,0,0.0073,0.0101,0.0064
pos_8579_Gibberellin A17,0.1521,0.1106,0.2043,0.2151,0.1945,0.2164
neg_3335_(??????-cochlearol B,0,0.008,0.0056,0.0016,0.0024,0.0027
neg_3430_Corchorifatty acid F,1.7444,1.8652,1.1489,2.0214,1.6067,1.6075
neg_3340_Cibaric acid,0.0708,0.0644,0.0774,0.0918,0.0717,0.0824
pos_4192_Punicic acid,0.3726,0.1641,0.2088,0.4495,0.2456,0.3084
neg_4290_Austroinulin,0.1029,0.1198,0.0896,1.1321,1.4421,1.1069
neg_3352_N-(1-Deoxy-1-fructosyl)tyrosine,0.0145,0.004,0,0.0095,0.0041,0.0019
pos_5891_UNPD122216,0.9633,0.509,0.1032,0.7147,1.2505,0.3906
"neg_3358_4-(1,2-oxazole-5-carbonyl)-6-(pyrazin-2-yloxy)-1,4-oxazepane",0.0703,0.1106,0.0377,0.0617,0.0638,0.0446
neg_3359_Dihydrosterigmatocystin,0.1581,0.0729,0.0163,0.0361,0.0334,0.0282
neg_3360_Vicine,0.0014,0,0.0116,0.0207,0.0411,0.0196
neg_3364_trans-p-Coumaric acid 4-glucoside,0.0077,0.0166,0.0055,0.0064,0.005,0.0085
neg_3365_trans-p-Coumaric acid 4-glucoside,0.0071,0.0119,0.0023,0.0078,0.0055,0.0058
"neg_3369_1,5-Dihydroxy-3-methoxy-2-prenylxanthone",0.1528,0.0711,0.0448,0.0128,0.0151,0.0154
neg_3374_C00050687,0.0115,0.0128,0.0137,0.0386,0.0833,0.03
neg_34_o-Cresol,0.2236,0.3124,0.1933,0.1734,0.1353,0.1715
neg_3403_Aflatoxin G,0.0063,0.006,0.0118,0.0747,0.0251,0.0277
"neg_3495_3,5,7-trihydroxy-8-methoxy-2-(4-methoxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",0.0141,0.0093,0.0128,0,0.0015,0.003
neg_3418_Ricinine,0.1755,0.5094,0.232,0.0524,0.0442,0.0419
neg_3426_Corchorifatty acid F,2.0909,1.8894,1.7775,0.633,0.4908,0.5904
neg_3435_Avocadene 2-acetate,0.3223,0.3522,0.2344,0.3179,0.165,0.3021
neg_3439_20-Hydroxyeicosanoic acid,0.2443,0.3916,0.5065,0.4785,0.2829,0.4462
neg_3442_N-trans-Feruloyloctopamine,0.0285,0.0483,0.0092,0.1039,0.1262,0.096
neg_3444_Pyrafoline D,0.0058,0.0484,0.3442,0.0098,0.0023,0.0016
"neg_3451_3,7-Dimethylquercetin",0.0687,0.0363,0.0299,0.074,0.1389,0.0128
"pos_6346_1-[3-hydroxy-4-(1H-pyrazol-1-yl)-6,8-dioxabicyclo[3.2.1]octan-2-yl]-3-(prop-2-en-1-yl)urea",0.9637,1.4816,0.2994,0.0998,0.1412,0.0889
pos_6356_Nigellidine,0.3344,0.1587,0.1488,0.4731,0.3617,0.3672
neg_3469_Asperic acid;(+)-Asperic acid,0.1884,0.0979,0.1156,0.1437,0.2729,0.1354
"neg_3480_N-[(4-methoxyphenyl)methyl]-3,5-dinitrobenzamide",0.0507,0.0526,0.0424,0.0172,0.0095,0.0659
neg_3485_6-phenyl-5-(1-piperidinyl)-2-prop-2-enyl-3-pyridazinone,0.0029,0.0048,0,0.0213,0.0038,0.0265
"neg_3490_5-[[2-[(4-methyl-2-oxido-1,2,5-oxadiazol-2-ium-3-yl)methoxy]phenyl]methylidene]-2-sulfanylidene-4-imidazolidinone",0.0054,0.0187,0.0076,0.0052,0.0023,0.0038
neg_3492_beta-Glucogallin,0.0068,0.0046,0.0055,0.0111,0.0059,0.0091
"pos_1190_Penicillic acid;3-Methoxy-5-methyl-4-oxo-2,5-hexadienoic acid",0.0706,0.0781,0.0708,0.0352,0.0301,0.0402
neg_3515_Gibberellin A51,0.0569,0.0317,0.0444,0.0861,0.1047,0.0748
neg_3518_,0.0054,0.0038,0.0117,0.0096,0.0064,0.0103
"neg_3536_2-{3-[(5-butyl-1,2-oxazol-3-yl)methyl]piperidin-4-yl}-N-[2-(dimethylamino)ethyl]acetamide",0.0831,0.0653,0.146,0.2013,0.1032,0.2169
neg_3545_UNPD125767,0.0162,0.0955,0.0306,0.0391,0.0203,0.0206
"neg_3547_2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-6-methoxy-3,4-dihydro-2H-1-benzopyran-4-one",0.0894,0.1982,0.0724,0.1413,0.0679,0.1094
neg_3548_Palmarumycin JC1;(+)-Palmarumycin JC1,0.0102,0.0166,0.0087,0.0271,0.0179,0.0128
"neg_3553_3-{2-[5-(3,3-dimethyloxiran-2-yl)-3-methylpent-2-en-1-yl]-3,4-dihydroxyphenyl}propanoic acid",0.0018,0,0,0.0965,0.0578,0.1121
neg_3566_Thromboxane A2,0.0257,0.0428,0.0479,0.2342,0.1285,0.2713
neg_3567_,0.0271,0.0411,0.0487,0.1819,0.1295,0.1779
"neg_3578_3,5,6,7-tetrahydroxy-2-(2,3,4-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one",0.0264,0.0567,0.0226,0.0057,0.0048,0.0153
neg_3584_dapdiamide A zwitterion,0.0369,0.0263,0.0064,0.0176,0.0187,0.0162
neg_3594_UNPD148262,0.0611,0.0394,0.0186,0.0906,0.0866,0.0681
neg_3830_Sorbitan laurate,0.2801,0.2774,0.2813,0.2536,0.2378,0.1849
"neg_3600_15H-11,12-EETA",0.1745,0.1306,0.2005,0.5774,0.261,0.5577
neg_362_Caprylic acid,0.0132,0.0342,0.047,0.0058,0.0039,0.0065
"pos_6575_5,7-Dihydroxy-3',4',5'-trimethoxyflavone",1.6743,1.5593,0.7979,0.4437,0.5425,0.2384
"neg_3808_5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-dimethyl-3,4-dihydro-2H-1-benzopyran-4-one",0.0173,0.0277,0.0198,0.0041,0.0042,0.0032
neg_364_Indole-3-carboxaldehyde,0.1381,0.1185,0.1834,0.0499,0.0461,0.0743
neg_3640_Cytosporin D;(-)-Cytosporin D,0.0324,0.043,0.0426,0.0602,0.042,0.088
neg_3655_Tumonoic acid A;(-)-Tumonoic acid A,0.4431,0.3459,0.2471,0.32,0.2428,0.2281
neg_4083_10-Deoxygeniposidic acid,0.0141,0.0094,0.0106,0.0073,0.0053,0.009
neg_3669_N-(5-methyl-3-isoxazolyl)-2-[[6-(4-methylphenyl)-3-pyridazinyl]thio]acetamide,0.04,0.0368,0.0107,0.0076,0.0059,0.008
"neg_3671_2-{[(2-hydroxyphenyl)methyl]amino}-4-(1H-1,2,4-triazol-1-yl)-6,8-dioxabicyclo[3.2.1]octan-3-ol",0.0848,0.0361,0.0055,0.1365,0.0199,0.0618
pos_4721_Pentalenolactone O,0.0185,0.0091,0.003,0.0459,0.1464,0.0439
pos_6436_Linocinnamarin,0.0341,0.0089,0.0062,0.0444,0.0121,0.0189
neg_3674_3-{[2-(5-methoxy-1H-indol-3-yl)ethyl]carbamoyl}pyrazine-2-carboxylic acid,0.0101,9.00E-04,0.0037,0.008,0.0062,0.0086
neg_3677_methyl 2-O-alpha-L-fucopyranosyl-beta-D-galactoside,0.5272,0.4221,1.1365,0.8714,0.0598,0.5554
neg_3689_3-Oxo-2-(2-entenyl)cyclopentaneoctanoic acid;OPC-8:0,0.1685,0.2014,0.1151,0.1431,0.1776,0.1462
neg_3690_Plakorstatin 1;(-)-Plakorstatin 1,0.5932,0.6552,0.7736,0.4545,0.3536,0.5414
pos_6466_4-Hydroxynornantenine,0.7833,0.3911,0.1648,0.0131,0.0184,0.0145
neg_3721_Heteroflavanone A,0.0407,0.0574,0.0312,0.0302,0.0437,0.017
"neg_3733_2,3-Dinor-6-keto-prostaglandin F1 a",0.2777,0.2308,0.1482,0.1276,0.1233,0.1188
neg_3740_Alpha-dimorphecolic acid,0.2396,0.1633,0.2236,0.1769,0.1695,0.1715
neg_376_2-Phenyl-2-butenal,0.0085,0.0089,0,0.0057,0.0069,0.0106
"pos_6570_5,7-Dihydroxy-3',4',5'-trimethoxyflavone",0.309,0.2655,0.0594,0.0608,0.0753,0.0735
neg_3766_Eupatilin,0.0024,0.0178,0.0075,0.0015,0.0037,0.0041
neg_3769_Xanthomicrol,0.2699,0.4595,0.2452,0.0433,0.0357,0.0595
neg_3772_8-Acetylegelolide,0.0062,0.0084,0,0.0047,0.0034,0.0064
neg_3778_Gallicynoic acid F;(-)-Gallicynoic acid F,0.274,0.3447,0.3542,0.1852,0.1654,0.2066
neg_378_Methyl DL-Leucate,0.0438,0.0296,0.041,0.1187,0.1255,0.1074
neg_3781_Gallicynoic acid F;(-)-Gallicynoic acid F,0.3729,0.3675,0.3486,0.211,0.2106,0.1849
pos_8327_Waltherione A,0.0291,0.0173,0.0041,0.0278,0.0922,0.0257
neg_3804_UNPD24013,0.0691,0.0393,0.0089,0.0206,0.0242,0.0083
"neg_3811_2-(acetyloxy)-3-[(10-methyl-2,7-dioxooxecan-5-yl)sulfanyl]propanoic acid",0.0233,0.0379,0.0339,0.0282,0.0176,0.0557
pos_4669_Corchorifatty acid F,0.2023,0.2158,0.2012,0.2546,0.1314,0.2726
neg_3829_Sorbitan laurate,0.4121,0.394,0.4314,0.3561,0.1851,0.2302
neg_3831_Sorbitan laurate,0.3414,0.4147,0.4096,0.1774,0.1109,0.1582
neg_3832_Sorbitan laurate,0.2067,0.3127,0.3018,0.1553,0.0973,0.1429
"pos_4077_3-(5-{1-[(thiophen-2-yl)methyl]pyrrolidin-3-yl}-1,3,4-oxadiazol-2-yl)pyridine",0.0242,0.0035,0.0199,0.0457,0.0342,0.0244
"pos_7508_3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-methoxy-3,4-dihydro-2H-1-benzopyran-4-one",0.0244,0.0355,0.0454,0.0214,0.0263,0.023
neg_3929_13-[3-(2-azaniumylethyl)cyclopent-2-en-1-yl]-3-(hydroxymethyl)tridec-4-enoate,0.0287,0.0315,0.0274,0.2102,0.3405,0.1392
neg_3868_13-L-Hydroperoxylinoleic acid,1.1218,0.3931,0.5227,0.1128,0.1617,0.0507
pos_6759_Sativic acid,0.0054,0.0151,0.0205,0.3335,0.2228,0.4038
neg_3877_Sativic acid,0.0324,0.0559,0.0271,0.9207,0.4838,0.7787
neg_3889_UNPD142253,0.0118,0.0189,0.0123,0.0948,0.1119,0.1067
neg_3890_UNPD142253,0.0053,0.0043,0.0114,0.1463,0.1928,0.2434
neg_3891_Dictyoquinazol A,0.1848,0.3439,0.0551,0.0106,0.0057,0.0083
neg_393_Cinnamic acid,0.6989,0.5966,0.2556,0.4624,0.8293,0.3957
neg_3934_Semilicoisoflavone B,0.0043,0.0156,0.0186,0.0074,0.0211,0.0178
"neg_3942_[4]-Gingerdiol 3,5-diacetate",0.0078,0.0024,0.007,0.0344,0.0234,0.0306
"neg_3950_4-{2-[(diethylamino)methyl]-1,3-thiazol-4-yl}-4-hydroxy-N-(prop-2-en-1-yl)piperidine-1-carboxamide",0.1367,0.1109,0.3283,0.0244,0.0215,0.0246
"neg_3952_3-[methyl({3-methyl-4-[(5-methyl-1,3,4-oxadiazol-2-yl)methyl]-6-(propan-2-yl)cyclohex-2-en-1-yl}methyl)amino]propanenitrile",0.5338,0.3849,0.3161,0.0154,0.0237,0.0271
neg_3979_Cyclovariegatin,0.0065,0.0042,0.0031,0,0.0017,0.0012
neg_7895_Amentoflavone,0,0.0061,0.0066,0.0032,0,0.0072
neg_3987_UNPD19778,0.0149,0.009,0.02,0.3965,0.1456,0.2454
neg_3989_UNPD19778,0.0119,0.0101,0.0187,0.4632,0.2107,0.3866
neg_3991_Isopropyl apiosylglucoside,0.0248,0.0315,0.0794,0.0121,0.0165,0.0212
neg_3998_Corchorifatty acid D,0.0449,0.0475,0.0582,0.1664,0.2707,0.101
"neg_4001_1-(2-methylprop-2-en-1-yl)-2-{1-[4-(2-methylpropyl)phenyl]ethyl}-1H-1,3-benzodiazole",0.6297,0.6323,0.8074,0.3277,0.4361,0.32
"neg_4009_MG(18:2(9Z,12Z)/0:0/0:0)",1.7486,2.3285,0.7553,1.7181,1.5777,1.1307
"neg_4024_2-{2-[(3-oxo-1,2,3,4-tetrahydroquinoxaline-1-carbonyl)amino]acetamido}propanoic acid",0.3137,0.2144,0.0212,0.0439,0.0402,0.0356
neg_4026_UNPD85949,0.0039,0.0045,0.0049,0.0018,0.0067,0.0048
neg_4029_,0.0208,0.0106,0.0274,0.0167,0.0135,0.0122
neg_4031_Kievitone,0.0073,0.0058,0.0035,0.0076,0.0019,0.0052
