cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7,MS.MS.spectrum
1057,pos_8313,Simple ID,Other possible annotated peaks for this cluster.,24,pos,8313,5.878,723.4425,[M+NH4]+,generic,C38H59NO11,"10-(acetyloxy)-6-{[ethyl(methyl)amino]methyl}-13-hydroxy-3,8,12-trimethoxy-6-(methoxymethyl)-2,9-dimethyltetracyclo[11.2.1.0?,?.0??,??]hexadecan-14-yl 3,4-dimethoxybenzoate",5.1701,5.1701,Unknown,3,48,723.4425,[M+NH4]+,705.408811708,0.0001373,3.279,P-methoxybenzoic acids and derivatives,VNFRVEMJZYDDLQ-UHFFFAOYSA-N,O=C(OC1C2C3CC1(O)C(OC)CC2(OC(=O)C)C(C)C(OC)C4C3(C)C(OC)CCC4(COC)CN(C)CC)C5=CC=C(OC)C(OC)=C5,COCONUT=CNP0092273,0.0013,0,1e-4,4e-4,0.0012,0.0011,0.038,0.0167,0.0719,0.0142,0.0101,0.01,0.0173,0.0157,0.0166,0.0014,0.0017,4e-4,8e-4,0.0014,3e-4,0.0054,0,0.0144,0,4e-4,6e-4,3e-4,0,4e-4,0.0012,0,0.0015,8e-4,0,0,0.0013,4e-4,0.0014,0.0019,0.0014,0.0021,0.0023,0.007,0.0042,0.004,0.006,0.0039,0.0053,115.07414:262 140.07188:85 185.13542:258 198.10529:16 201.16374:63 202.10678:49 278.11414:11 279.23389:119 285.17838:72 311.16318:52 315.22864:61 335.15356:164 347.1828:58 400.32657:31 409.27063:54 471.31372:21 482.31601:57 491.35696:16 525.15985:24 525.55823:30 537.45129:106 542.59149:44 549.63861:23 550.35602:77 561.3537:33 567.36664:64 568.37549:61 568.56818:12 593.89862:39 602.40857:48 627.38776:37 645.38873:167 645.42548:44 646.78003:13 662.41943:34 670.38727:36 706.31622:43 706.4162:449 706.5921:22 707.11084:21 707.3327:13 707.41083:340 707.67487:55 708.4328:80 709.29352:22 709.54388:15 723.44452:26 723.48193:69
1058,neg_2949,Simple ID,,1,neg,2949,1.668,490.32117,[M-H]-,generic,C34H41N3,"dibenzyl({3-methyl-4-[(4-methyl-1H-1,3-benzodiazol-2-yl)methyl]-6-(propan-2-yl)cyclohex-2-en-1-yl}methyl)amine",2.802,2.802,Unknown,3,20,490.3212,[M-H]-,491.330048312,0.0015719,1.413,Bicyclic monoterpenoids,NROMOWHPYGGQIN-UHFFFAOYSA-N,N=1C=2C(=CC=CC2C)NC1CC3C(=CC(CN(CC=4C=CC=CC4)CC=5C=CC=CC5)C(C3)C(C)C)C,COCONUT=CNP0151999,0.0086,0.0084,0.0073,0.0059,0.0062,0.0021,0.0106,0.0091,0.0092,0.0057,0.0112,0.007,0.0092,0.0065,0.0085,0.008,0.0087,0.0092,0.0103,0.0107,0.0074,0.0529,0.0869,0.0187,0.0374,0.0348,0.0412,0.0511,0.0554,0.0524,0.0092,0.0098,0.0057,0.0027,0.006,0.0045,0.0088,0.0051,0.0024,0.0106,0.0115,0.0159,0.0164,0.0166,0.0155,0.0179,0.0152,0.0129,0.0171,72.03894:17 137.92722:138 164.81326:23 232.54968:22 284.11243:67 324.72992:11 391.29361:62 392.27899:80 392.55194:79 392.5842:12 395.03781:51 402.58871:88 429.20898:122 452.03952:34 455.32867:55 459.60718:77 490.25958:35 490.29105:155 490.32477:188 490.59439:12
1059,neg_2951,Simple ID,,1,neg,2951,5.304,490.33118,[M-H]-,generic,C32H45NO3,(-)-Stipiamide;Fenalamid A1;Phenalamide A1;Stipiamide,3.0877,3.0877,Unknown,3,34,490.3312,[M-H]-,491.3399443,0.0014678,1.581,Aromatic monoterpenoids,LCADVYTXPLBAGB-ZAVGWNIWNA-N,O=C(NC(C)CO)C(=CC=CC=CC=CC(=CC(C)C(O)C(=CC(C)CCC=1C=CC=CC1)C)C)C,"KNApSAcK=C00017095,UNPD=UNPD158790;UNPD179180;UNPD23852,NPA=NPA017344;NPA018050;NPA020472,COCONUT=CNP0289571",0.0063,0.0082,0.0055,0.0181,0.0206,0.0193,0.0073,0.0097,0.0107,0.0065,0.003,0.0051,0.0116,0.0117,0.0097,0.002,0.0013,0.0038,7e-4,7e-4,0.0017,0.0276,0.0023,0,0.0192,0.0171,0.0232,0.0413,0.0353,0.037,0.0272,0.0294,0.0313,0.0297,0.0338,0.0324,0.0152,0.0169,0.0124,0.0114,0.0119,0.0114,0.0148,0.0118,0.012,0.0112,0.0103,0.0112,0.0122,54.48412:23 62.62894:29 97.38542:44 106.12749:60 129.01768:113 164.58131:11 174.46379:206 174.51749:11 190.63226:57 191.10728:30 196.03516:77 200.5531:21 219.34203:17 224.53516:59 249.28043:83 250.62004:24 284.40356:14 288.14545:15 293.52588:33 294.09186:23 305.58612:54 305.76178:18 342.56741:128 342.61288:10 406.35852:102 406.38824:14 408.27087:130 408.30948:18 422.28754:37 437.0437:17 463.24606:21 487.10916:39 489.45288:14 490.33014:416
1060,neg_2953,Unknown compound,,1,neg,2953,6.496,490.35794,[M-H]-,,,,,,,,,,,,,,,,,,0.0267,0.0216,0.0265,0.0228,0.0215,0.0216,0.033,0.0318,0.029,0.0371,0.0387,0.042,0.0381,0.037,0.0367,0.0129,0.0144,0.014,0.013,0.0129,0.0132,0.0505,0.025,0.0146,0.0265,0.0221,0.031,0.0237,0.0236,0.0234,0.0164,0.0165,0.0168,0.0103,0.0111,0.0103,0.0198,0.0212,0.0219,0.0238,0.0233,0.0236,0.0201,0.0202,0.0197,0.0208,0.0201,0.02,0.0195,71.17352:21 83.67464:101 90.38506:27 115.64812:56 124.00335:71 132.35477:17 143.95796:12 228.78909:42 243.99356:24 253.10194:23 275.24698:48 297.74469:67 329.57904:32 365.09943:10 395.21002:69 407.31973:32 439.66824:17 445.37189:121 445.57648:24 480.16541:12 487.41873:32 487.63666:33 490.30576:61 490.34933:435 490.4108:20
1061,neg_2956,Simple ID,,1,neg,2956,1.682,491.21158,[M-H]-,generic,C27H32N4O3S,"2-[7-hydroxy-8-(hydroxymethyl)-4a,8-dimethyl-2-(pyridin-3-yl)-4H,4aH,5H,6H,7H,8H,8aH,9H-naphtho[2,3-d][1,3]thiazol-4-yl]-N-[(pyridin-3-yl)methyl]acetamide",3.9647,3.9647,Unknown,3,34,491.2116,[M-H]-,492.219511884,0.0006354,2.494,Naphthothiazoles,RJKCPYWEUTYAGS-UHFFFAOYSA-N,O=C(NCC=1C=NC=CC1)CC2C=3N=C(SC3CC4C(C)(CO)C(O)CCC24C)C=5C=NC=CC5,COCONUT=CNP0027417,0.0052,0.0129,0.0046,0.0091,0.0121,0.0085,0,0,0,0,0,0,0,0,0,0,0.0084,0.0028,0.0163,0.0026,0.002,0.0528,0.0029,0,0.0275,0.031,0.0454,0.0212,0.0084,0.0119,0,0,0,5e-4,3e-4,0.0011,0.0103,0.0194,0.0094,0.0166,0.0113,0.0093,0.0109,0.0083,0.0033,0.0042,0.0049,0.0039,0,57.28879:33 62.59295:54 68.99424:76 93.55996:46 93.57165:25 137.95844:36 151.85736:84 174.27802:27 187.65929:40 255.81952:130 286.15396:45 302.3078:25 315.21085:99 336.26035:29 371.25568:23 380.56119:13 390.85577:40 405.26904:41 407.27979:685 407.36215:17 407.53439:120 407.85669:30 408.03214:32 408.28494:237 408.65216:71 408.98752:10 409.38828:35 423.30621:198 427.24417:18 442.52939:41 447.34134:42 475.02365:23 481.9838:54 491.24756:132
1062,neg_2958,Simple ID,,1,neg,2958,1.211,491.24261,[M-H]-,generic,C26H32N6O4,"(2S,3S,3aR,9bR)-N1-cyclopentyl-N2-(cyclopropylmethyl)-3-(hydroxymethyl)-6-oxo-7-(5-pyrimidinyl)-3,3a,4,9b-tetrahydro-2H-pyrrolo[2,3-a]indolizine-1,2-dicarboxamide",4.6976,4.6976,Unknown,3,14,491.2426,[M-H]-,492.248503504,-0.0013729,3.004,Alpha amino acid amides,KFSHNWDAJUKWQL-URIZWZIONA-N,O=C(NC1CCCC1)N2C(C(=O)NCC3CC3)C(CO)C4CN5C(=O)C(=CC=C5C24)C=6C=NC=NC6,ChEBI=CHEBI:98638;CHEBI:100298,0.1304,0.1182,0.0847,0.0846,0.0913,0.0649,0,0,0,0.0015,0.0059,0.0124,0.0014,0,0.0011,0.1542,0.0868,0.0885,0.0791,0.1206,0.0993,0.1048,0.1408,0.1464,0.1486,0.1369,0.1431,0.1359,0.1383,0.1427,0.1852,0.1808,0.1937,0.189,0.189,0.1875,0.2031,0.211,0.2097,0.1016,0.1149,0.1085,0.0401,0,0.0167,0.0025,0.0295,0.0253,0.027,60.17538:88 112.96667:96 267.16653:21 379.13071:45 407.15344:239 407.20868:553 407.72916:26 408.13614:28 408.20636:140 408.70636:16 408.81058:62 424.22134:20 455.1351:157 491.15268:970
1063,neg_2959,Simple ID,,1,neg,2959,2.427,491.28424,[M-H]-,generic,C29H40N4OS,1-({5-[(4-benzylpiperidin-1-yl)methyl]-1-azabicyclo[2.2.2]octan-2-yl}methyl)-3-[3-(methylsulfanyl)phenyl]urea,3.2851,3.2851,Unknown,3,8,491.2842,[M-H]-,492.2922829,0.0008064,1.983,4-benzylpiperidines,YIFMFRVODTUJSI-UHFFFAOYSA-N,O=C(NC=1C=CC=C(SC)C1)NCC2N3CCC(C2)C(CN4CCC(CC=5C=CC=CC5)CC4)C3,COCONUT=CNP0003864,0.0177,0.0144,0.0207,0.0048,0.0086,0.0058,0.0719,0.0737,0.072,0.1012,0.1041,0.106,0.1492,0.1374,0.1442,0,0,0,0,0,0,0.1336,0.0699,0.124,0.0124,0.0121,0.0079,0.0013,0.025,0.0097,0.0143,0.0142,0.0127,0.0053,0.0078,0.0056,0.0077,0.0055,0.0051,0.0035,0.0052,0.0034,0.0247,0.0208,0.0256,0.0252,0.0222,0.023,0.0244,96.56729:11 96.96002:542 97.52941:38 97.55687:16 163.07497:153 255.94101:29 466.65594:30 483.9696:42
1064,pos_7355,Simple ID,Other possible annotated peaks for this cluster.,3,pos,7355,1.656,548.37061,[2M+3H2O+2H]+,generic,C16H22O2,UNPD195473,4.1998,4.1998,Unknown,3,41,548.3706,[2M+3H2O+2H]+,246.161979944,-0.0001966,2.32,Germacrane sesquiterpenoids,NWLNPDFDTSFGEU-JILRTIKINA-N,O1C=C(C2=C1CC(=CC(OC)CC(=CC2)C)C)C,"UNPD=UNPD195473;UNPD49311;UNPD8764,COCONUT=CNP0386618",0.0434,0.0327,0.0341,0.1095,0.1165,0.1199,0.0159,0.0162,0.0136,0.0044,0.005,0.0028,0.0156,0.0216,0.0231,0.0458,0.0343,0.036,0.0294,0.0368,0.0338,0,0.0017,0,0.0309,0.0347,0.0321,0.0627,0.0653,0.0685,0.0708,0.0715,0.0724,0.0518,0.0481,0.0455,0.0593,0.0598,0.0711,0,0.0099,0.0091,0.0372,0.0389,0.0334,0.0342,0.0342,0.0282,0.0358,60.07933:99 104.10681:852 119.084:182 124.99884:45 126.02383:42 126.03554:14 127.07688:15 140.07541:74 143.0822:12 167.06686:124 169.10265:148 184.07318:538 184.11317:12 184.26761:21 185.07257:126 220.17427:45 229.16023:79 260.25598:72 280.17795:12 332.29993:75 337.05038:20 353.31882:47 374.27762:59 381.3118:220 386.16479:87 387.25027:75 397.30417:23 398.31107:78 399.32852:52 400.33051:19 415.3179:122 458.39502:11 471.31616:20 480.26144:51 492.18176:28 504.40247:18 531.36346:43 532.37518:153 533.37793:66 533.40765:18 548.36218:142
1065,neg_780,Simple ID,Other possible annotated peaks for this cluster.,2,neg,780,5.155,305.2493,[M-H]-,generic,C20H34O2,"8,11,14-Eicosatrienoic acid",6.7683,6.7683,Unknown,3,14,305.2493,[M-H]-,306.255880328,-0.0006961,3.655,Long-chain fatty acids,HOBAELRKJCKHQD-QNEBEIHSSA-N,O=C(O)CCCCCCC=CCC=CCC=CCCCCC,"HMDB=HMDB0002925,ChEBI=CHEBI:53486;CHEBI:71589,DrugBank=DB00154,SMPDB=PW_C001736,FooDB=FDB023082;FDB030816,BMDB=BMDB02925,LipidMAPS=LMFA01030158,Feces=HMDB0002925,Serum=HMDB0002925,PubChem=21158448;5280581,PlantCyc=CPD-8120,UNPD=UNPD106657;UNPD199019;UNPD216049,BLEXP=BLEXPDB00000003011,COCONUT=CNP0234935",0.96,1.0127,0.9487,1.4389,1.365,1.4484,3.5431,3.5887,3.5741,4.9352,4.8038,4.8449,2.3579,2.4126,2.4279,0.1992,0.2099,0.2131,0.0909,0.0886,0.0912,1.251,1.0894,1.4139,3.1385,3.0643,3.153,5.1478,5.2834,5.1317,5.5508,5.4887,5.5789,2.8687,2.96,2.9053,1.9223,1.9271,1.8961,1.0015,1.1108,1.0606,2.3465,2.3143,2.2941,2.3146,2.278,2.3222,2.2743,59.01466:316 80.59285:143 83.05018:87 93.06864:103 137.99931:13 175.06067:28 233.22401:24 261.25897:48 287.23605:162 303.23309:22 303.27573:36 303.56027:12 305.24829:4782 305.70773:32
1066,neg_2971,Unknown compound,,1,neg,2971,7.385,491.35809,[M-H]-,,,,,,,,,,,,,,,,,,0.012,0.0131,0.0119,0.0173,0.0172,0.0174,0.0139,0.0149,0.0166,0.0095,0.0092,0.0088,0.0131,0.0137,0.0142,0.0186,0.0195,0.0183,0.0218,0.0218,0.0184,2.1647,2.2836,2.3778,0.0495,0.0463,0.0505,0.0183,0.0175,0.0192,0.0178,0.0202,0.019,0.0486,0.0532,0.055,0.0417,0.0429,0.039,0.0422,0.0435,0.0436,0.0189,0.0187,0.0174,0.0182,0.0182,0.0167,0.0187,51.19897:13 52.98496:14 72.17711:12 91.37917:34 96.12594:272 96.1647:18 100.46179:15 152.6257:33 188.92432:131 213.55862:10 216.10257:17 218.27238:17 233.16351:35 248.90169:32 250.7352:32 284.54437:41 337.86209:13 372.99991:35 373.03925:10 433.40988:42 442.616:73 445.27042:78 445.30481:14 461.60773:124 490.83679:12 491.29575:14 491.3526:31 491.371:11
1067,neg_3878,Simple ID,Other possible annotated peaks for this cluster.,2,neg,3878,12.254,543.47864,[M-H]-,generic,C36H64O3,UNPD126558,4.3584,4.3584,Unknown,3,11,543.4786,[M-H]-,544.485545908,-0.0003305,2.854,Annonaceous acetogenins,GSFBWZVCGDJPKH-UJBDJYDINA-N,O=C1OC(C=C1CCCC=CCCCCCCCCCCC2OC2CCCCCCCCCCCCCC)C,"UNPD=UNPD126558;UNPD199520;UNPD214084,COCONUT=CNP0171418",0.2089,0.2006,0.2008,0.2349,0.2343,0.2344,0.4657,0.4542,0.4681,0.4523,0.4647,0.4455,0.4763,0.4627,0.497,0.2362,0.2473,0.2478,0.283,0.2664,0.2773,0.0272,0.0515,0,0.884,0.8815,0.9289,0.9034,0.9188,0.9062,1.3801,1.3545,1.3898,1.3194,1.3041,1.3563,1.7578,1.6965,1.6874,2.3903,2.4476,2.3723,0.4272,0.4213,0.4259,0.4239,0.4195,0.4192,0.409,58.71931:23 117.08786:47 117.28746:31 226.64926:26 321.9231:28 423.71701:24 453.55255:64 498.30301:119 540.41699:17 542.89563:23 543.47614:1610
1068,neg_2985,Simple ID,Other possible annotated peaks for this cluster.,4,neg,2985,11.722,491.44775,[M-H]-,generic,C32H60O3,UNPD172500,4.2554,4.2554,Unknown,3,12,491.4478,[M-H]-,492.45424578,-0.0008307,2.527,Long-chain fatty acids,NDUUSTFBIHIKBB-IIHZBDTFNA-N,O=C(O)C(CCCCCCC=CCCCCCC)C(O)CCCCCCCC=CCCCCCC,"UNPD=UNPD172500;UNPD208345;UNPD224335,COCONUT=CNP0159877",0.0023,0.0026,0.0022,0.003,0.0033,0.0034,0.0035,0.0043,0.0041,0.0039,0.0036,0.0035,0.0024,0.0026,0.0033,0.002,0.0026,0.003,0.0027,0.0023,0.0019,0.0841,0.0564,0.0046,0.2601,0.2622,0.259,0.2255,0.2402,0.2284,0.3111,0.3065,0.3,0.3155,0.3168,0.3181,0.3865,0.374,0.372,0.5479,0.5619,0.5485,0.0926,0.0904,0.0894,0.0896,0.0917,0.0948,0.0881,71.01318:158 128.25256:26 132.91916:11 305.44089:17 372.03378:44 385.2034:50 445.3541:75 488.27594:18 488.76849:15 491.44711:942 491.74704:66 491.84723:71
1069,neg_2986,Simple ID,,3,neg,2986,17.166,491.48352,[M-H]-,generic,C33H64O2,"Tritriacontane-16,18-dione",4.4334,4.4334,Unknown,3,17,491.4835,[M-H]-,492.490631288,-0.0001452,2.825,Beta-diketones,BYKYTXUAKJDVPV-UHFFFAOYSA-N,O=C(CC(=O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,"KNApSAcK=C00001271,ChEBI=CHEBI:9752,LipidMAPS=LMFA12000007,UNPD=UNPD112176,COCONUT=CNP0244640",0.0228,0.0231,0.021,0.0213,0.0214,0.022,0.0296,0.0318,0.0346,0.049,0.0493,0.0474,0.0391,0.0361,0.0411,0.0144,0.015,0.0164,0.0177,0.018,0.019,0.0339,0,0.0317,0.1408,0.10780000000000001,0.1299,0.1192,0.1108,0.1225,0.1532,0.1492,0.1661,0.1298,0.1088,0.1229,0.1915,0.1909,0.1919,0.2519,0.2721,0.2715,0.0637,0.0649,0.0663,0.0609,0.056,0.056,0.0555,72.94685:44 81.0805:138 134.80739:53 142.95056:20 143.16531:32 162.54968:43 183.08282:28 215.16646:17 236.08199:15 282.11646:14 292.57953:12 376.87622:70 393.25656:33 417.6503:40 432.38876:23 487.15256:31 491.48303:468
1070,neg_2990,Simple ID,,1,neg,2990,17.975,491.48389,[M-H]-,generic,C33H64O2,"Tritriacontane-16,18-dione",4.2765,4.2765,Unknown,3,17,491.4839,[M-H]-,492.490631288,-0.0005452,2.662,Beta-diketones,BYKYTXUAKJDVPV-UHFFFAOYSA-N,O=C(CC(=O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,"KNApSAcK=C00001271,ChEBI=CHEBI:9752,LipidMAPS=LMFA12000007,UNPD=UNPD112176,COCONUT=CNP0244640",0.5114,0.7071,1.3387,0.2668,0.3672,0.2917,0.6191,1.0503,0.426,0.6871,0.7315,0.6887,0.7105,0.7487,0.6337,0.3244,0.3049,0.2924,0.3502,0.1475,0.1522,0.0926,0.1437,0.0804,0.1656,0.1866,0.1889,0.1609,0.4612,0.1722,0.1348,0.1284,0.1001,0.1608,0.1292,0.146,0.0946,0.142,0.1055,0.1795,0.135,0.1089,0.2705,0.2747,0.26,0.2303,0.2843,0.243,0.3033,74.16768:205 74.19308:13 100.93307:43 121.08942:38 149.02269:68 244.37811:12 290.38358:12 304.19305:28 309.26132:22 341.84177:22 375.10379:51 388.05042:31 392.40491:188 394.8374:17 489.3154:56 491.48386:723 491.81631:22
1071,neg_2998,Unknown compound,,1,neg,2998,9.256,492.38266,[M-H]-,,,,,,,,,,,,,,,,,,0.0181,0.0148,0.0195,0.0263,0.0264,0.0248,0.0087,0.0073,0.0089,0.005,0.0067,0.0067,0.0066,0.0063,0.0069,0.0113,0.0107,0.0132,0.0085,0.0118,0.0112,0,0,0,0,0,0,0.0017,0.0079,0.0063,0.0064,0.0054,0.0078,0,0,0,0,0,0,0,0,0,0.0091,0.0078,0.0069,0.0092,0.0106,0.0101,0.0109,51.82795:255 52.33201:57 61.11808:67 74.92535:29 117.6377:31 117.84931:26 117.86771:10 130.68845:28 138.6313:42 147.35997:22 163.71098:64 205.95274:19 293.42374:16 395.62439:43 445.99518:35 466.67114:19 480.92502:25 487.55679:112
1072,neg_301,Simple ID,,1,neg,301,1.039,211.05818,[M-H]-,generic,C14H12S,UNPD68981,3.4962,3.4962,Unknown,3,13,211.0582,[M-H]-,212.065971384,0.0004949,2.142,Dibenzothiophenes,DGUACJDPTAAFMP-UHFFFAOYSA-N,S1C2=CC=CC(=C2C=3C1=CC=CC3C)C,"UNPD=UNPD68981,COCONUT=CNP0310975",0.0039,0.0035,0.0047,0.0028,0.0035,0.0037,0.0011,0.0012,0.0011,7e-4,0.0015,0.0012,0.0026,0.0012,0.0027,0.0046,0.0054,0.0076,0.0042,0.0046,0.0052,0,0,0,0.0836,0,0,0.0113,0.0014,0,0.0363,0,0.0371,0,0,0.0017,0.0207,0.0173,0.0077,0,1e-4,0,0.0165,0.015,0.013,0.0135,0.0162,0.0153,0.0164,65.47248:42 77.04307:30 109.15181:13 131.06052:464 131.08742:25 131.20103:30 131.87444:12 137.79546:34 147.0565:27 168.06508:99 180.01617:88 200.58073:55 211.42853:11
1073,neg_4467,Unknown compound,,3,neg,4467,5.989,574.41522,[M-H]-,,,,,,,,,,,,,,,,,,0.0584,0.0219,0.0212,0.1252,0.0887,0.1613,0,0,0,0.0585,0.0524,0.0578,0.0967,0.0985,0.0929,0.3662,0.3034,0.3792,0.1456,0.2076,0.2298,0.0325,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1012,0.0998,0.0633,0.0718,0.112,0.1094,0.1125,80.96862:42 99.52372:96 139.11113:48 144.10812:19 162.45793:48 199.85373:24 336.22183:112 336.67496:31 337.22345:18 350.2417:109 351.23682:106 422.29095:37 556.44293:28 557.45972:20 570.35132:28 570.51727:47 571.42255:14 571.71753:14 571.94055:36 572.07599:14 573.18524:23 574.41608:1361 574.45288:1557
1074,neg_302,Unknown compound,,1,neg,302,1.049,211.08382,[M+Na-2H]-,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4e-4,0.0013,0.0016,0.0014,2e-4,0.0011,0.0013,0.0019,0.0016,0,0,0,6e-4,0,0,0,0,0,0.1066,0.1663,0.1714,0.0927,0.1008,0.1022,0.0657,0.0937,0.054,0.0933,0.0886,0.0959,0.0527,0.0639,0.0636,0.0877,0.0924,0.0872,3e-4,3e-4,0.0039,0.0038,3e-4,0.0032,5e-4,70.27465:18 97.0405:167 97.06665:12 111.04324:124 139.13275:16 151.04022:107 151.05852:24 168.06416:70 183.08716:82 192.30511:41 209.15781:17 211.08304:224
1075,neg_3022,Simple ID,,1,neg,3022,1.482,493.34445,[M-H]-,generic,C31H46N2O3,"18-amino-18-(2-hydroxyethyl)-20,20-dimethyl-9-[(propylamino)methyl]-21-oxapentacyclo[17.2.2.1?,?.0?,??.0?,??]tetracosa-8,10,12-trien-15-yn-11-ol",3.9795,3.9795,Unknown,3,20,493.3445,[M-H]-,494.350843332,-0.0009331,2.354,1-hydroxy-2-unsubstituted benzenoids,PSKNBNSRJUHJPU-UHFFFAOYSA-N,OC=1C=C2C(=C(C1)CNCCC)CC3CCCC(C3)C45OC(C)(C)C(CC4)C(N)(CCO)C5C#CC2,COCONUT=CNP0399349,0.104,0.1003,0.099,0.0935,0.0907,0.0907,0,0,0,0,0,0,0,0,0,0.0405,0.0715,0.0781,0.0929,0.0907,0.0875,0.0862,0.0064,0.0313,0.1341,0.1336,0.1327,0.1017,0.108,0.0968,0.0562,0.0608,0.0587,0.03,0.0286,0.0307,0.0432,0.0404,0.0388,0.0428,0.05,0.0494,0.0648,0.0625,0.0631,0.0631,0.0628,0.0618,0.0597,64.61201:88 109.5892:10 112.98019:49 137.09807:148 151.11128:58 180.51576:53 217.45686:40 335.21753:132 361.02213:69 389.31229:71 391.28836:116 435.29984:44 447.3121:295 448.18488:16 475.30914:193 475.69397:37 476.06473:29 476.10349:37 493.35004:213 493.40552:14
1076,neg_6838,Simple ID,Other possible annotated peaks for this cluster.,2,neg,6838,9.271,673.47827,[M-H]-,generic,C37H71O8P,PA(18:1(11Z)/16:0),4.4754,4.4754,Unknown,3,49,673.4783,[M-H]-,674.488655862,0.0030794,2.861,"1,2-diacylglycerol-3-phosphates",MVJLJVFGNPWDHA-JUOLSMOWSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)O)CCCCCCCCCC=CCCCCCC,HMDB=HMDB0114899,0,0,0,0.0013,0,0.0036,0,0,0.0074,0,0,0,0.0025,0.0133,0.007,0.005,0.0055,0,0.0124,0,0,0.0233,0.0411,0.0187,0.0353,0.0323,0.0416,0.0322,0.0328,0.0321,0.0241,0.0291,0.0315,0.0368,0.0327,0.038,0.0361,0.0336,0.0423,0.0325,0.0374,0.0297,0.0146,0.0172,0.0147,0.0185,0.0145,0.0121,0.0047,63.12658:68 65.00313:72 73.73585:57 78.9183:16 102.18804:40 112.98505:489 113.13828:28 270.94632:44 271.12289:17 279.22961:56 291.2677:148 352.83453:20 353.47366:10 543.47467:159 544.48596:117 561.48315:162 562.49274:59 581.49762:68 627.49518:45 627.53754:113 631.35797:14 633.21967:10 635.521:1039 635.77588:27 635.86639:22 635.95123:16 635.99066:10 636.14044:19 636.23376:21 636.31061:15 636.46326:21 636.53369:218 636.59229:59 636.81085:24 636.91571:11 637.02008:27 637.20758:30 637.37213:129 637.53259:664 637.81995:85 637.90356:22 638.08282:12 638.16187:20 638.32001:30 638.54193:62 641.23529:73 644.03528:26 673.48505:79 673.55713:112
1077,neg_3030,Simple ID,,1,neg,3030,11.45,493.4628,[M-H]-,generic,C32H62O3,UNPD104295,5.0068,5.0068,Unknown,3,5,493.4628,[M-H]-,494.469895844,-0.0001806,3.1,Fatty alcohols,GGLVMKYMLYCFPC-HNSDRLSHNA-N,O=C(C)CCCCCCCCC(O)CC(=O)CCCCCCCCCCCCCCCCCCC,"UNPD=UNPD104295,COCONUT=CNP0201966",0.1984,0.1637,0.1995,0.1212,0.1242,0.1209,0.3315,0.3366,0.3295,0.2086,0.2215,0.217,0.1503,0.1416,0.1507,0.1096,0.0995,0.1109,0.0624,0.075,0.0711,0.0758,0.1626,0.1896,1.0782,1.0407,0.9162,1.2504,1.4654,1.3161,0.961,0.9699,0.9695,0.7014,0.6861,0.6502,0.4821,0.4531,0.4678,0.5559,0.5768,0.5975,0.2967,0.3057,0.3115,0.3219,0.3408,0.3279,0.3539,55.7291:27 457.23901:45 493.46112:743 493.9021:41 493.94534:49
1078,neg_3031,Simple ID,Other possible annotated peaks for this cluster.,2,neg,3031,12.955,493.46289,[M-H2O-H]-,generic,C32H64O4,UNPD39143,4.519,4.519,Unknown,3,13,493.4629,[M-H2O-H]-,512.480460528,-0.0002806,2.801,1-monoacylglycerols,PEVUFEPPDDXNNI-GUZXWJHPNA-N,O=C(OCC(O)CO)CCCCCCCCCCCCCCCCCCCCCCCCCCCC,"UNPD=UNPD39143,COCONUT=CNP0368899",0.0062,0.0059,0.0075,0.0054,0.0056,0.0052,0.0079,0.0086,0.0092,0.0077,0.0074,0.0073,0.0073,0.0075,0.0073,0.0052,0.0055,0.0063,0.005,0.004,0.0045,0.0761,0.139,0.2217,0.7266,0.6897,0.7543,0.752,0.7783,0.7372,0.8947,0.912,0.8834,0.9238,0.926,0.996,0.9356,0.9544,0.9491,1.1088,1.1097,1.0488,0.2733,0.2701,0.2755,0.2752,0.2617,0.2641,0.2697,107.89757:19 159.55557:15 185.45657:54 213.37057:107 213.39893:57 220.4035:261 220.49956:14 227.04184:19 237.22131:97 360.69092:30 449.47134:47 490.47485:14 493.46249:1215
