cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,NW3.1,NW3.2,NW15.1,NW3.3,NW15_P.1,NW15_P.2,NW3_P.1,NW15.2,NW3_P.2,NW15.3,NW15_P.3,NW15.4,NW15.5,NW15_P.4,NW3_P.3,NW3_P.4,NW3.4,NW15_P.5,NW3_P.5,NW3_P.6,NW3.5,Blank.1,Blank.2,Blank.3,QC.1,QC.2,QC.3,QC.4,QC.5,MS.MS.spectrum
403,pos_1245,Simple ID,,6,pos,1245,9.595,469.33047,[M+Na]+,generic,C28H46O4,"(3beta,5alpha,6beta,7alpha,22E,24R)-Ergosta-8,22-diene-3,5,6,7-tetrol",6.962,6.962,Unknown,3,2,469.3305,[M+Na]+,446.33961,-0.0016693,3.608,Ergosterols and derivatives,JYZONTNDJOOGSM-BQYQJAHWNA-N,OC1C2=C(CCC3(C)C2CCC3C(C=CC(C)C(C)C)C)C4(C)CCC(O)CC4(O)C1O,"HMDB=HMDB0032107,FooDB=FDB008828,UNPD=UNPD21834,COCONUT=CNP0222964",0.4597,0.3783,0.4411,0.4011,0.3551,0.4368,0.3802,0.3927,0.38,0.3904,0.4843,0.3032,0.4461,0.3888,0.5262,0.4804,0.4567,0.541,0.4378,0.5395,0.4919,1.1279,1.1591,1.3111,0.2763,0.2423,0.2459,0.2237,0.237,329.1716:144 469.33316:1118
404,pos_1147,Unknown compound,,3,pos,1147,8.154,447.40536,[M+3ACN+2H]+,,,,,,,,,,,,,,,,,,0.0055,0.0023,0.0094,0.0017,0.0453,0.0049,0.0102,0.0471,0.1285,0.0213,0.0038,0.002,0.0124,0.0038,0.009,0.0031,0.0014,0.0066,0.0025,0.0026,0.12,0.0954,0.0159,0.0313,0.025,0.0208,0.0249,0.0224,0.0241,55.05397:42 57.07072:47 71.08551:227 71.10555:18 81.07025:102 81.09479:10 85.10253:144 149.02365:82 161.13254:13 163.11316:45
405,pos_1167,Simple ID,,1,pos,1167,1.674,452.32315,[M+NH4]+,generic,C22H42O8,Polysorbate 60,5.5554,5.5554,Unknown,3,22,452.3232,[M+NH4]+,434.2879683,-0.0014061,2.804,Fatty acid esters,CRBBOOXGHMTWOC-XNPSCKHPNA-N,O=C(OCC(O)C1OCC(OCCO)C1OCCO)CCCCCCCCCCC,"HMDB=HMDB0037183,FooDB=FDB016182,COCONUT=CNP0303931",0.569,0.209,2.2576,0.0849,1.8172,2.3721,3.2313,0.9406,2.0982,1.2713,2.2756,0.0395,0.4637,0.2514,2.4948,9.8438,0.0524,0.1289,0.0517,0.4877,3.0821,0,0,0,1.4821,1.4419,1.3614,1.4196,1.3866,55.05465:655 55.21085:54 57.07043:112 61.08313:66 61.09098:24 64.99306:35 67.05116:127 67.07194:10 83.04882:111 83.53513:13 83.69116:142 88.42447:21 89.05946:803 89.09189:24 91.05283:159 91.07713:14 101.06116:74 106.1494:158 107.08229:31 111.0438:471 111.24003:26 155.07132:297
406,pos_1170,Unknown compound,,1,pos,1170,3.522,452.39575,[M+H]+,,,,,,,,,,,,,,,,,,0.0804,0.0735,0.0718,0.0815,0.0918,0.0653,0.0929,0.1001,0.0907,0.0622,0.1084,0.0778,0.0766,0.0831,0.077,0.0784,0.0707,0.0881,0.092,0.0773,0.0825,0.1727,0.1815,0.1296,0.076,0.0727,0.0757,0.0704,0.0698,59.04844:49 71.08565:279 73.06562:123 83.08225:68 85.10254:13 89.06035:255 89.07991:24 117.09361:72 127.15044:23 133.08458:342 161.11803:216 239.14922:219 240.05415:25 249.96716:31 403.34763:26 435.28827:50 435.36798:564 436.09836:22 437.28195:10 446.23904:30 452.3078:192 452.37558:85 452.39917:76 452.62738:73
407,pos_1175,Simple ID,,2,pos,1175,4.612,453.31989,[M+Na]+,generic,C24H46O6,Sorbitan stearate,6.0524,6.0524,Unknown,3,5,453.3199,[M+Na]+,430.3294392,-0.0012401,2.721,Fatty acid esters,HVUMOYIDDBPOLL-UHFFFAOYNA-N,O=C(OCC(O)C1OCC(O)C1O)CCCCCCCCCCCCCCCCC,"HMDB=HMDB0029888,FooDB=FDB001123,STOFF=STOFF_157,LipidMAPS=LMFA07011020,BLEXP=BLEXPDB00003793749,COCONUT=CNP0347281",0.1685,0.1677,0.2452,0.1662,0.246,0.1906,0.2003,0.1873,0.2208,0.1818,0.2071,0.2317,0.206,0.1651,0.1586,0.1935,0.1885,0.1621,0.1922,0.2575,0.227,0,0,0,0.1896,0.1928,0.2639,0.2375,0.2249,215.07182:32 330.20038:105 453.31903:4259 453.43417:27 453.67856:54
408,pos_1191,Unknown compound,,1,pos,1191,1.413,459.2486,[2M+H]+,,,,,,,,,,,,,,,,,,0.3346,0.333,0.3286,0.3324,0.1734,0.3473,0.2363,0.3082,0.2388,0.2616,0.3256,0.3193,0.2931,0.3097,0.2972,0.3186,0.366,0.2811,0.3641,0.2985,0.2269,3.248,2.3385,3.5914,0.1468,0.264,0.2814,0.1566,0.2526,99.08104:113 119.08288:23 135.07979:31 295.11826:68 336.19775:54 336.26135:20 415.20825:254 415.26495:21 459.24814:80
409,pos_1203,Unknown compound,,1,pos,1203,1.137,462.24326,[M+K]+,,,,,,,,,,,,,,,,,,0.4064,0.6209,0.6339,0.5156,0.5379,0.4438,0.8394,0.6644,0.4422,0.4643,0.7451,0.6103,0.7033,0.8114,0.6139,0.563,0.5967,0.7564,0.7987,0.6105,0.4876,0,0.0442,0.0297,0.5106,0.4666,0.5032,0.4354,0.4655,84.07938:298 84.17155:59 123.11655:186 166.15843:59 255.15735:79 295.38773:69 298.20114:1093 461.94772:84 462.24042:729 462.30011:14
410,pos_1204,Unknown compound,,1,pos,1204,1.199,462.24417,[M+H]+,,,,,,,,,,,,,,,,,,0.4064,0.6209,0.6339,0.5156,0.5379,0.4438,0.0409,0.6644,0.4422,0.4643,0.7451,0.6103,0.7033,0.8114,0.6139,0.0988,0.5967,0.1399,0.7987,0.6105,0.4876,0.0303,0.0442,0.0297,0.5106,0.0839,0.5032,0.4354,0.4655,84.08335:133 123.11682:330 255.15955:48 298.20105:1381 298.49084:15 302.66708:22 462.24469:594
411,pos_1205,Unknown compound,,1,pos,1205,8.569,462.41638,[M+H]+,,,,,,,,,,,,,,,,,,0.0216,0.0034,0.0123,0.0044,0.036,0.0279,0.0276,0.0435,0.0504,0.0269,0.0248,0.0016,0.0048,0.0034,0.0243,0.0084,0.0013,0.0027,0.0015,0.0056,0.0447,0,0,0,0.0145,0.0114,0.0225,0.0105,0.019,89.05954:121 283.2637:1280 283.3092:30 283.69501:20 285.26093:117 329.25659:18 399.36182:20 427.3623:24 445.37238:20 446.37115:99 446.422:13 462.38345:12 462.43671:52
412,pos_135,Simple ID,,3,pos,135,3.466,171.13879,[M+H]+,generic,C10H18O2,cis-3-Hexenyl isobutyrate,7.3074,7.3074,Unknown,3,2,171.1388,[M+H]+,170.1306798,-0.0008437,3.747,Carboxylic acid esters,OSMAJVWUIUORGC-WAYWQWQTSA-N,O=C(OCCC=CCC)C(C)C,"HMDB=HMDB0040213,FooDB=FDB019925,LipidMAPS=LMFA07010643,COCONUT=CNP0128799",0.0027,0.0011,0.0022,9.00E-04,0.0029,0.2445,0.0013,0.0031,0.0018,3.00E-04,0.0157,0.002,0.0037,0.0024,0.0013,0.0014,9.00E-04,0.006,0.0021,0.0016,0.0013,0.0087,0.0267,0.0537,0.0155,0.0136,0.0162,0.0151,0.0126,57.07112:36 171.13785:198
413,pos_1215,Unknown compound,,1,pos,1215,5.326,465.31491,[M+H]+,,,,,,,,,,,,,,,,,,0.074,0.0534,0.0892,0.0859,0.1281,0.2773,0.1311,0.2571,0.1365,0.0539,0.1574,0.0475,0.272,0.1093,0.155,0.0979,0.055,0.2031,0.116,0.0918,0.1084,0.0346,0,0,0.1269,0.096,0.1037,0.108,0.1053,57.07063:181 163.03264:114 165.05109:66 191.06168:162 219.08305:116 301.16986:15 310.46408:19 366.34222:40 385.29694:225 465.17514:78 465.28189:262 465.31546:2919 465.3866:100 465.61938:84
414,pos_1221,Unknown compound,,1,pos,1221,5.14,466.4278,[M+H]+,,,,,,,,,,,,,,,,,,0.1297,0.1279,0.1264,0.1361,0.1434,0.1379,0.1186,0.1526,0.1104,0.1441,0.1402,0.1217,0.1726,0.1078,0.1172,0.119,0.1196,0.121,0.1561,0.1456,0.1409,0,0,0,0.0828,0.1049,0.1575,0.1366,0.0897,309.38705:21 326.29767:17 366.34003:103 426.14038:49 466.42706:1422 466.60275:27 466.79208:26
415,pos_1223,Unknown compound,,1,pos,1223,6.173,466.46335,[M+H]+,,,,,,,,,,,,,,,,,,0.0341,0.0276,0.0369,0.0446,0.0249,0.038,0.0402,0.0341,0.0335,0.0369,0.0232,0.036,0.0319,0.0246,0.0306,0.0192,0.0406,0.0288,0.0279,0.033,0.0314,0,0,0,0.023,0.0284,0.0233,0.0355,0.0287,97.10019:118 133.08539:48 283.19327:15 465.4028:54 466.18787:50 466.22565:17 466.28201:14 466.32953:63 466.46234:1468 466.8407:14
416,pos_1240,Unknown compound,,2,pos,1240,6.893,468.44437,[M+IsoProp+Na+H]+,,,,,,,,,,,,,,,,,,1.2072,0.7856,0.1088,0.5865,0.0915,1.3718,1.065,0.8136,1.3216,2.1923,0.3194,0.4215,0.9884,0.1544,0.0486,0.439,1.3881,1.3206,0.4609,0.0837,0.9124,0,0,0,0.0492,0.5062,0.0466,0.3733,4.1323,62.06289:199 102.08955:154 184.17302:101 207.20821:101 311.29285:279 328.32059:340 328.90805:22 368.30698:13 368.35355:1378 368.42706:18 369.37509:16 373.79803:20 376.96957:17 412.3945:51 467.46475:112 468.33597:40 468.38434:114 468.44229:11089 468.55945:253 468.62579:31 468.67041:22 468.79715:18 468.82507:34 468.87836:34
417,pos_1566,Simple ID,,3,pos,1566,15.479,548.505,[M+NH4]+,generic,C35H62O3,Epomuricenin B,5.6332,5.6332,Unknown,3,16,548.505,[M+NH4]+,530.4698958,-0.0012786,3.205,Annonaceous acetogenins,INAWEXWDPOFSPN-ZBJSNUHENA-N,O=C1OC(C=C1CCCCCCCCCCC2OC2CCC=CCCCCCCCCCCCCCC)C,"HMDB=HMDB0040923,FooDB=FDB020762,UNPD=UNPD67447,COCONUT=CNP0292261",0.1351,0.1599,0.1806,0.187,0.185,0.1599,0.1759,0.0935,0.1926,0.1355,0.1392,0.0715,0.1957,0.1897,0.1339,0.132,0.1222,0.0953,0.1557,0.0069,0.1781,0.0883,0.1564,0.0728,0.102,0.0439,0.0436,0.0472,0.0593,57.06851:97 71.08414:63 71.17552:12 85.10133:124 98.71707:57 107.04918:3401 107.09941:44 107.11816:31 107.25004:43 107.32316:27 107.5026:74 149.05939:1075 167.28549:14 205.12013:125 219.17534:64 419.3508:56
418,pos_1287,Unknown compound,,1,pos,1287,1.551,482.33344,[M+H]+,,,,,,,,,,,,,,,,,,0.2272,0.0045,0.0453,0.006,0.5263,0.1823,0.2013,0.4809,0.5876,0.4194,0.0225,0.004,0.013,0.0069,0.23,0.0527,0.0022,0.0028,0,0.0176,0.51,0,0,0,0.2188,0.2018,0.2189,0.2133,0.2132,55.05441:178 57.0682:80 73.06195:40 83.08698:303 89.05992:1044 99.04278:35 101.09584:444 101.12917:12 117.09059:148 145.12227:387 145.3465:23 159.06348:85 185.52632:20 188.93555:24 189.14853:651 189.18886:15 189.30945:33 189.35588:107 247.1152:206 283.16995:27 291.13876:33 303.18045:738 303.24197:17 304.18463:61 316.99966:105 347.20798:242 418.06775:70 465.30182:109 465.90005:13 482.32922:116
419,pos_1445,Simple ID,,3,pos,1445,5.199,523.28888,[M+H]+,generic,C28H42O9,Physangulide,5.0007,5.0007,Unknown,3,9,523.2889,[M+H]+,522.2828829,0.0012594,2.895,Withanolides and derivatives,OREAQOXKZSQPCV-UHFFFAOYNA-N,O=C1OC(CC(O)(C)C1(O)C)C(O)(C)C2CCC3C4CC5OC65C(O)C(O)CC(=O)C6(C)C4CCC32C,"HMDB=HMDB0037381,FooDB=FDB016419,UNPD=UNPD119997;UNPD143527,COCONUT=CNP0365047",0.0184,0.0209,0.0242,0.019,0.0272,0.0257,0.0233,0.027,0.0249,0.0253,0.0225,0.0224,0.0274,0.0208,0.028,0.0178,0.0236,0.0184,0.0245,0.0274,0.0214,0,0,0,0.014,0.0241,0.0254,0.0231,0.0201,122.05442:140 168.16385:50 463.30591:297 485.31491:227 487.31818:187 523.24548:21 523.32471:895 523.39832:52 523.53668:25
420,pos_286,Simple ID,,2,pos,286,0.953,243.18356,[M+NH4]2+,generic,C29H44N2O3,N-oleoyl tryptophan,6.2493,6.2493,Unknown,3,120,243.1836,[M+NH4]2+,468.3351933,0.0012702,3.229,N-acyl-alpha amino acids,XAKJNQLDKZLAKM-UXPKJFETNA-N,O=C(O)C(NC(=O)CCCCCCCC=CCCCCCCCC)CC1=CNC=2C=CC=CC21,LipidMAPS=LMFA08020096,0.7906,0.8955,0.8812,0.9546,1.023,0.2954,1.0468,0.9357,1.136,0.8919,0.4472,0.9104,1.0896,0.4649,0.9396,0.8643,0.9835,0.893,1.0517,1.0671,0.3669,0.1028,0.0792,0.0645,0.6717,0.7427,0.7149,0.7317,0.6618,54.58802:21 55.05405:183 56.04928:159 57.07022:1450 57.09975:24 57.11289:36 57.12865:36 58.06547:1355 58.08575:51 58.20036:11 60.04402:41 60.50597:42 62.06047:4026 62.31466:40 62.57855:12 63.0639:103 65.04123:19 67.05388:824 67.07256:34 67.09774:10 67.36321:35 72.04436:154 74.14481:75 77.03732:73 77.68217:23 81.06992:4151 81.10408:48 81.11973:39 81.34843:15 82.07316:365 83.085:25 84.03835:28 84.08121:1617 84.11484:29 84.18448:22 85.06523:1434 85.11771:25 90.05402:183 91.79012:255 95.086:120 96.24604:18 98.0285:56 99.04438:21 101.77425:28 102.09159:26580 102.18319:13 102.22942:33 102.29787:57 102.32011:11 102.34467:18 102.42462:23 102.50657:15 102.60096:21 102.77834:36 103.09541:1499 103.16361:103 103.60706:14 103.63781:25 103.77737:15 114.56598:188 122.0345:66 122.93083:22 123.11705:9232 123.19002:28 123.22037:40 123.47099:24 123.64426:21 124.119:488 128.10803:1654 128.19221:74 130.08633:111 140.14583:245 142.04758:49 143.09332:317 143.11967:18 144.06541:200 145.0491:660 145.56062:24 146.11917:89 157.08435:177 161.81485:28 162.07649:381 164.60977:204 164.76869:25 173.12228:298 173.62157:13 184.16982:648 184.2776:13 184.63673:94 186.13187:185 186.20784:10 193.0677:113 193.13902:2381 193.21278:33 193.41039:11 193.57439:27 193.64232:205 201.74467:84 202.01645:74 202.0424:21 202.1075:3651 202.17239:17 202.19991:11 202.27396:31 202.32501:21 202.44455:15 203.11137:297 203.16481:11 203.40767:46 203.95357:17 208.60628:38 213.12085:59 215.65245:174 227.13979:35 228.12775:14 243.1226:71 243.18411:435 243.2171:125 243.24261:137 243.28537:10
421,pos_1311,Unknown compound,,1,pos,1311,5.517,486.45227,[M+H]+,,,,,,,,,,,,,,,,,,0.0506,0.0605,0.0521,0.0452,0.0469,0.0462,0.0496,0.0592,0.0586,0.054,0.0554,0.041,0.0538,0.0492,0.0505,0.0481,0.0562,0.0592,0.0629,0.0669,0.0579,0,0,0,0.0563,0.0448,0.0519,0.0353,0.049,88.07669:227 283.2626:27 344.31702:558 344.36096:23 344.806:57 345.31476:107 372.20511:135 486.45087:207
422,pos_1317,Simple ID,,1,pos,1317,6.147,490.40311,[2M+3H2O+2H]+,generic,C10H23N3O2,Spermic acid 1,4.514,4.514,Unknown,3,6,490.4031,[2M+3H2O+2H]+,217.179027,0.0006004,2.639,Beta amino acids and derivatives,JQNGEJIUZQDHIS-UHFFFAOYSA-N,O=C(O)CCNCCCCNCCCN,HMDB=HMDB0060066,0.0188,0.02,0.0272,0.0258,0.0345,0.0248,0.019,0.0261,0.0193,0.0236,0.0154,0.0222,0.0244,0.0163,0.0196,0.015,0.0191,0.0198,0.0189,0.0233,0.0163,0,0,0,0.0352,0.0412,0.0563,0.0464,0.0454,86.09986:220 490.35324:80 490.40643:2048 490.48566:20 490.7023:35 490.86295:16
423,pos_1331,Unknown compound,,1,pos,1331,3.455,496.42181,[M+H]+,,,,,,,,,,,,,,,,,,0.0946,0.085,0.0904,0.087,0.1115,0.0821,0.1232,0.1257,0.1043,0.0774,0.1271,0.0872,0.0939,0.1035,0.0913,0.0969,0.0777,0.0966,0.106,0.0932,0.1085,0.2212,0.1395,0.1654,0.0871,0.0802,0.0875,0.0883,0.0841,71.08586:103 83.0866:107 89.05993:328 133.08432:59 165.03651:141 165.10876:79 165.13034:12 166.16026:105 177.11154:108 221.13989:23 257.24628:37 283.17682:270 285.73203:14 329.30692:25 367.06763:23 479.38898:567 479.45239:16 496.33966:149 496.41333:38 496.89346:29
424,pos_1622,Unknown compound,,2,pos,1622,8.828,554.44281,[M+NH4]+,,,,,,,,,,,,,,,,,,0.2214,0.2269,0.24,0.2913,0.3304,0.334,0.2606,0.2413,0.3002,0.3193,0.1762,0.2665,0.2988,0.2438,0.2658,0.232,0.3061,0.2357,0.1788,0.2526,0.2318,0,0,0,0.2888,0.2533,0.2641,0.2028,0.2279,81.0698:59 102.09223:35 115.03855:368 123.11732:519 123.48286:39 283.26358:446 284.44476:16 300.29419:78 340.32266:1317 341.21194:23 342.54013:18 442.26154:31 553.9563:44 554.37427:213 554.44196:9981 554.64166:21 554.70135:17 554.85889:41 554.94061:40
425,pos_137,Unknown compound,,1,pos,137,1.209,173.10069,[M+ACN+Na]+,,,,,,,,,,,,,,,,,,0.6659,1.4848,0.7497,1.4792,0.6946,1.257,0.6704,0.7831,0.61,0.4465,0.9784,0.8013,1.2335,1.0393,1.124,1.2819,1.1019,1.4797,1.7471,1.279,0.598,0,0,0.0287,0.6383,0.8621,0.9635,0.8518,0.6723,106.05186:45 117.0427:29 131.04811:310 131.08804:10 132.05492:207 133.06154:39 173.09251:1920
426,pos_1379,Unknown compound,,1,pos,1379,8.036,508.45816,[M+NH4]+,,,,,,,,,,,,,,,,,,0.0064,0.0023,0.0087,9.00E-04,0.0254,0.0028,0.0044,0.0729,0.0775,0.0159,0.0022,0.0023,0.0124,0.0012,0.006,0.0047,0.0012,0.0048,0.0029,0.0023,0.1134,0.0074,0.0474,0.0071,0.0178,0.0184,0.0211,0.0121,0.0179,89.05968:507 133.08427:282 202.10767:42 239.14699:86 324.32944:50 337.1795:78 341.33759:47 416.22305:19 491.43161:652 491.50287:12 492.10037:11 493.5896:15 508.21506:27 508.2699:49 508.34915:40
427,pos_1383,Unknown compound,,1,pos,1383,5.064,509.3425,[M+H]+,,,,,,,,,,,,,,,,,,0.1039,0.0973,0.1175,0.1141,0.1304,0.2649,0.1381,0.2166,0.1478,0.0998,0.1513,0.1005,0.237,0.1289,0.1303,0.1021,0.0954,0.1518,0.1284,0.1353,0.1122,0,0.0339,0,0.1099,0.1124,0.1279,0.1179,0.1075,89.05953:107 98.91729:233 306.16653:63 468.21744:46 509.34482:3415
428,pos_1391,Unknown compound,,1,pos,1391,5.647,512.39612,[M+H]+,,,,,,,,,,,,,,,,,,0.045,0.0344,0.0435,0.0283,0.0331,0.0282,0.0429,0.0482,0.0469,0.0367,0.0409,0.056,0.0265,0.0424,0.0376,0.0393,0.0489,0.0413,0.0416,0.0481,0.0254,0,0,0,0.0336,0.0302,0.0416,0.0378,0.0451,57.07161:19 102.09297:93 119.08524:90 195.12407:146 219.17404:91 295.10306:13 312.29391:223 327.2092:22 370.33331:574 370.38565:40 370.43918:11 415.03934:46 429.52408:262 460.81116:21 487.6546:31 495.39172:73 512.39978:328 512.46582:99 512.66223:33
429,pos_2713,Unknown compound,,3,pos,2713,7.174,723.58911,[M+H]+,,,,,,,,,,,,,,,,,,0.256,0.2331,0.241,0.271,0.2777,0.2771,0.3188,0.2342,0.25,0.2318,0.1948,0.2809,0.2468,0.2264,0.24,0.2331,0.2005,0.2526,0.2539,0.3051,0.2423,0,0,0,0.2424,0.1706,0.2528,0.2122,0.2223,123.11523:155 184.17046:63 184.75961:13 202.10744:160 246.12859:71 283.26135:93 302.19705:474 340.32019:1039 425.44119:26 623.50085:221 723.5896:3966 723.70923:26 723.9043:77
430,pos_1416,Simple ID,,2,pos,1416,5.07,518.37006,[M+NH4]+,generic,C28H44N4O4,Frangulanine,5.2724,5.2724,Unknown,3,21,518.3701,[M+NH4]+,500.3362559,-1.86E-05,2.973,Oligopeptides,ULQXKOIGVXLOOC-PFONDFGANA-N,OC1=NC=CC=2C=CC(OC(C(N=C(O)C(N(C)C)C(C)CC)C(O)=NC1CC(C)C)C(C)C)=CC2,"HMDB=HMDB0030199,KNApSAcK=C00001998,ChEBI=CHEBI:5166,FooDB=FDB002017,UNPD=UNPD116981;UNPD193998;UNPD40283;UNPD68465;UNPD89412;UNPD228405,COCONUT=CNP0382460",0.0745,0.1029,0.0887,0.0862,0.0974,0.1162,0.0784,0.0939,0.0992,0.0962,0.0652,0.0836,0.115,0.0829,0.0647,0.0755,0.0573,0.0746,0.0731,0.1023,0.09,0,0,0,0.059,0.0794,0.0885,0.0999,0.0548,81.075:245 99.05145:88 159.0704:4039 159.16911:22 159.22723:15 159.30948:17 159.44553:34 159.90256:18 160.07213:165 163.15196:174 265.2601:147 265.40512:41 307.2677:52 381.22556:91 381.30478:3153 382.30472:22 383.17041:20 441.3309:673 441.46701:11 463.80417:19 518.36517:144
431,pos_1435,Unknown compound,,1,pos,1435,2.178,522.33392,[M+H]+,,,,,,,,,,,,,,,,,,0.0554,0.0533,0.0598,0.0651,0.0624,0.0724,0.0642,0.0456,0.062,0.0481,0.0417,0.0616,0.0569,0.066,0.0394,0.0503,0.0557,0.0453,0.0502,0.0671,0.0586,0,0.0357,0.0329,0.0572,0.0678,0.0652,0.0648,0.0586,86.09697:135 104.10769:678 184.07204:813 184.65517:41 185.06967:155 185.80614:18 450.2822:87 504.35614:128 505.34363:56 521.70392:175 522.35486:1953 522.45825:23 522.51221:36 522.63306:27
432,pos_1454,Simple ID,,1,pos,1454,3.836,524.37189,[M+H]+,generic,C26H54NO7P,2-acetyl-1-alkyl-sn-glycero-3-phosphocholine,6.8998,6.8998,Unknown,3,12,524.3719,[M+H]+,523.3637897,-0.0008338,3.516,"1-alkyl,2-acetylglycero-3-phosphocholines",HVAUUPRFYPCOCA-AREMUKBSSA-N,O=C(OC(COCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)C,"HMDB=HMDB0062195,ChEBI=CHEBI:44811,DrugBank=DB02261,LipidMAPS=LMGP01020046,BLEXP=BLEXPDB00000002499,COCONUT=CNP0288397",0.0616,0.0596,0.0692,0.0569,0.0834,0.0817,0.0564,0.0713,0.0639,0.0703,0.0572,0.0885,0.0735,0.0698,0.0671,0.0538,0.0631,0.056,0.0517,0.0689,0.0691,0,0,0,0.1147,0.1306,0.1337,0.1323,0.1302,57.07119:160 86.05953:22 86.09867:32 87.04646:65 104.10946:147 184.07579:3099 184.12537:28 194.51091:17 341.30557:47 506.3653:68 524.19366:20 524.36987:74
433,pos_1455,Simple ID,,2,pos,1455,4.221,524.37427,[M+H]+,generic,Spectral DB search,LPC 18:0/0:0,8.618,8.618,Unknown,3,9,524.3743,[M+H]+,-1,0,5,LPC,IHNKQIMGVNPMTC-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCCCC,,1.331,1.116,1.1633,1.2509,1.4617,1.2701,1.0106,1.3505,1.1158,1.1571,0.9152,1.7369,1.3124,1.2867,1.1343,0.961,1.1078,1.0379,1.0205,1.2302,1.2511,0.3299,0.2787,0.2482,2.4357,2.8631,3.0553,2.8369,2.1704,60.07948:16 104.10708:131 184.07376:270 184.43333:17 506.35995:22 523.76617:15 524.37079:993 524.43066:45 524.57397:35
434,pos_1467,Unknown compound,,1,pos,1467,2.126,526.39697,[M+H]+,,,,,,,,,,,,,,,,,,0.0482,0.0433,0.0516,0.0454,0.0546,0.0489,0.0564,0.0596,0.0604,0.0339,0.0489,0.0442,0.049,0.0547,0.0493,0.0493,0.0387,0.0521,0.0471,0.0437,0.0508,0,0,0,0.0459,0.0415,0.0437,0.027,0.0421,57.07086:29 59.04959:112 71.08589:323 89.05979:834 97.10197:232 133.08556:735 135.68013:38 177.11015:24 221.14185:13 271.26282:94 315.29105:79 327.20209:562 421.27527:37 421.34583:85 469.28922:118 509.40582:2261 510.40485:66 511.29816:18 511.53632:13 526.26196:35 526.33209:84 526.43182:484 526.49768:11
435,pos_1478,Unknown compound,,1,pos,1478,16.205,529.46265,[M+2ACN+H]+,,,,,,,,,,,,,,,,,,0.0872,0.0895,0.1105,0.1521,0.1306,0.0851,0.135,0.0991,0.0941,0.0858,0.0859,0.0653,0.1028,0.0964,0.0955,0.0849,0.0812,0.0828,0.0954,0.0093,0.0359,0.0452,0.0574,0.0505,0.0719,0.0629,0.078,0.0673,0.0842,57.06894:211 130.08479:57 147.04544:22 147.35771:12 165.05635:514 167.79982:34 219.17529:44 221.11409:148 222.1176:80 259.16797:228 260.17386:151 283.2655:102
436,pos_1776,Unknown compound,,2,pos,1776,1.534,584.40143,[M+NH4]+,,,,,,,,,,,,,,,,,,0.2327,0,0.078,0.006,1.1917,0.2113,0.2553,1.1886,2.2567,0.9963,0.0266,0,0.0305,0.0054,0.2607,0.0992,0,0,0,0.0099,1.8807,0,0,0,0.5312,0.5336,0.5276,0.4917,0.4984,55.05368:198 73.0279:142 73.04707:10 83.08437:111 89.05829:245 89.09138:13 101.09541:119 101.10889:22 102.3093:13 143.67593:23 145.12285:80 155.06883:240 173.08018:197 207.16682:282 207.21167:10 229.14015:36 251.18507:242 252.1886:60 261.10095:106 261.13147:212 271.15674:139 273.16968:196 273.52988:22 273.68503:25 287.15341:16 305.15936:1500 305.23029:28 305.57047:22 343.21259:23 349.18842:44 361.2225:1362 361.31055:15 362.22644:66 405.24753:1044 405.31381:24 406.26807:14 406.80774:52 439.30411:19 462.95245:23 533.83337:93 567.37524:246 584.40179:3124 584.54846:75 584.58575:18 584.79675:22
437,pos_2055,Unknown compound,,8,pos,2055,6.596,628.19525,[M+NH4]+,,,,,,,,,,,,,,,,,,0.0133,0.0311,0.0576,0.0382,0.0566,0.0424,0.0482,0.0094,0.0486,0.0328,0.0145,0.0133,0.0609,0.0438,0.0205,0.0248,0.0289,0.0458,0.0151,0.0442,0.0087,2.0049,4.4266,4.4335,0.106,0.1482,0.1884,0.2314,0.1902,73.04636:168 147.06522:120 149.0444:39 221.48444:11 223.06438:1152 223.52388:23 235.78011:25 239.14816:116 266.99838:203 281.05103:316 297.08377:237 324.98611:41 337.78815:28 341.01666:207 355.01514:131 355.07169:1473 355.67673:84 356.07162:179 365.93732:25 371.05389:10 371.10129:3864 371.17416:45 371.42899:35 371.5094:29 371.75732:25 372.09995:283 372.14621:21 372.17731:13 372.4953:36 374.30853:28 429.08789:419 430.09369:91 445.11948:687 445.92706:27 446.65723:26 469.30704:18 627.52393:116 628.508:100
